dataset,noise,trial,algorithm,mu,lam_step,accuracy,frobenius,gt_frobenius
euroroad,10,0,qap_init,,,0.833901,312.0,248.0
euroroad,10,1,qap_init,,,0.791312,402.0,258.0
euroroad,10,2,qap_init,,,0.832198,302.0,206.0
euroroad,15,0,qap_init,,,0.758092,498.0,358.0
euroroad,15,1,qap_init,,,0.73339,496.0,360.0
euroroad,15,2,qap_init,,,0.729983,450.0,310.0
euroroad,20,0,qap_init,,,0.602215,756.0,464.0
euroroad,20,1,qap_init,,,0.560477,804.0,464.0
euroroad,20,2,qap_init,,,0.620102,658.0,418.0
euroroad,5,0,qap_init,,,0.892675,158.0,122.0
euroroad,5,1,qap_init,,,0.894378,158.0,126.0
euroroad,5,2,qap_init,,,0.894378,126.0,102.0
highschool,10,0,qap_init,,,1.0,1182.0,1182.0
highschool,10,1,qap_init,,,1.0,1176.0,1176.0
highschool,10,2,qap_init,,,1.0,1156.0,1156.0
highschool,15,0,qap_init,,,1.0,1764.0,1764.0
highschool,15,1,qap_init,,,1.0,1706.0,1706.0
highschool,15,2,qap_init,,,1.0,1714.0,1714.0
highschool,20,0,qap_init,,,1.0,2296.0,2296.0
highschool,20,1,qap_init,,,1.0,2304.0,2304.0
highschool,20,2,qap_init,,,1.0,2278.0,2278.0
highschool,5,0,qap_init,,,1.0,624.0,624.0
highschool,5,1,qap_init,,,1.0,568.0,568.0
highschool,5,2,qap_init,,,1.0,596.0,596.0
multimanga,10,0,fugal_init,0.05,0.2,0.700199,2194.0,1582.0
multimanga,10,0,fugal_init,0.05,0.4,0.708167,2226.0,1582.0
multimanga,10,0,fugal_init,0.05,0.6,0.712151,2250.0,1582.0
multimanga,10,0,fugal_init,0.05,0.8,0.715139,2250.0,1582.0
multimanga,10,0,fugal_init,0.05,1.0,0.714143,2254.0,1582.0
multimanga,10,0,fugal_init,0.1,0.2,0.709163,2174.0,1582.0
multimanga,10,0,fugal_init,0.1,0.4,0.722112,2178.0,1582.0
multimanga,10,0,fugal_init,0.1,0.6,0.719124,2170.0,1582.0
multimanga,10,0,fugal_init,0.1,0.8,0.718127,2170.0,1582.0
multimanga,10,0,fugal_init,0.1,1.0,0.710159,2178.0,1582.0
multimanga,10,0,fugal_init,0.3,0.2,0.772908,1850.0,1582.0
multimanga,10,0,fugal_init,0.3,0.4,0.768924,1854.0,1582.0
multimanga,10,0,fugal_init,0.3,0.6,0.76494,1850.0,1582.0
multimanga,10,0,fugal_init,0.3,0.8,0.761952,1854.0,1582.0
