dataset,noise,trial,algorithm,mu,lam_step,accuracy,frobenius,gt_frobenius
euroroad,10,0,fugal_init,2.0,0.4,0.820273,496.0,248.0
euroroad,10,0,fugal_init,2.0,1.0,0.81431,424.0,248.0
euroroad,10,0,fugal_init,3.0,0.4,0.810051,464.0,248.0
euroroad,10,0,fugal_init,3.0,1.0,0.81431,432.0,248.0
euroroad,10,0,qap_init,,,0.833901,292.0,248.0
euroroad,10,1,fugal_init,2.0,0.4,0.763203,710.0,258.0
euroroad,10,1,fugal_init,2.0,1.0,0.762351,550.0,258.0
euroroad,10,1,fugal_init,3.0,0.4,0.748722,646.0,258.0
euroroad,10,1,fugal_init,3.0,1.0,0.747019,610.0,258.0
euroroad,10,1,qap_init,,,0.798978,382.0,258.0
euroroad,10,2,fugal_init,2.0,0.4,0.816014,518.0,206.0
euroroad,10,2,fugal_init,2.0,1.0,0.817717,426.0,206.0
euroroad,10,2,fugal_init,3.0,0.4,0.816865,378.0,206.0
euroroad,10,2,fugal_init,3.0,1.0,0.810903,334.0,206.0
euroroad,10,2,qap_init,,,0.832198,302.0,206.0
euroroad,15,0,fugal_init,2.0,0.2,0.666951,890.0,358.0
euroroad,15,0,qap_init,,,0.755537,486.0,358.0
euroroad,15,1,fugal_init,2.0,0.2,0.655026,1012.0,360.0
euroroad,15,1,qap_init,,,0.729131,504.0,360.0
euroroad,15,2,fugal_init,2.0,0.2,0.683135,950.0,310.0
euroroad,15,2,qap_init,,,0.724872,462.0,310.0
euroroad,20,0,fugal_init,2.0,0.2,0.298978,1592.0,464.0
euroroad,20,0,qap_init,,,0.587734,788.0,464.0
euroroad,20,1,fugal_init,2.0,0.2,0.539182,1284.0,464.0
euroroad,20,1,qap_init,,,0.568995,832.0,464.0
euroroad,20,2,fugal_init,2.0,0.2,0.383305,1554.0,418.0
euroroad,20,2,qap_init,,,0.61925,686.0,418.0
euroroad,5,0,fugal_init,2.0,0.4,0.896082,202.0,122.0
euroroad,5,0,fugal_init,2.0,1.0,0.890971,162.0,122.0
euroroad,5,0,fugal_init,3.0,0.4,0.89523,206.0,122.0
euroroad,5,0,fugal_init,3.0,1.0,0.89523,150.0,122.0
euroroad,5,0,qap_init,,,0.892675,158.0,122.0
euroroad,5,1,fugal_init,2.0,0.4,0.893526,218.0,126.0
euroroad,5,1,fugal_init,2.0,1.0,0.89523,170.0,126.0
euroroad,5,1,fugal_init,3.0,0.4,0.872232,230.0,126.0
euroroad,5,1,fugal_init,3.0,1.0,0.87138,202.0,126.0
euroroad,5,1,qap_init,,,0.894378,158.0,126.0
euroroad,5,2,fugal_init,2.0,0.4,0.870528,202.0,102.0
euroroad,5,2,fugal_init,2.0,1.0,0.883305,178.0,102.0
euroroad,5,2,fugal_init,3.0,0.4,0.882453,146.0,102.0
euroroad,5,2,fugal_init,3.0,1.0,0.879898,158.0,102.0
euroroad,5,2,qap_init,,,0.894378,126.0,102.0
highschool,10,0,qap_init,,,1.0,1182.0,1182.0
highschool,10,1,qap_init,,,1.0,1176.0,1176.0
highschool,10,2,qap_init,,,1.0,1156.0,1156.0
highschool,15,0,qap_init,,,1.0,1764.0,1764.0
highschool,15,1,qap_init,,,1.0,1706.0,1706.0
highschool,15,2,qap_init,,,1.0,1714.0,1714.0
highschool,20,0,qap_init,,,1.0,2296.0,2296.0
highschool,20,1,qap_init,,,1.0,2304.0,2304.0
highschool,20,2,qap_init,,,1.0,2278.0,2278.0
highschool,5,0,qap_init,,,1.0,624.0,624.0
highschool,5,1,qap_init,,,1.0,568.0,568.0
highschool,5,2,qap_init,,,1.0,596.0,596.0
multimanga,10,0,qap_init,,,0.762948,1906.0,1582.0
multimanga,10,1,qap_init,,,0.723108,1910.0,1606.0
multimanga,10,2,qap_init,,,0.659363,3216.0,1796.0
multimanga,15,0,qap_init,,,0.641434,3958.0,2382.0
multimanga,15,1,qap_init,,,0.648406,3742.0,2402.0
multimanga,15,2,qap_init,,,0.611554,4026.0,2626.0
multimanga,20,0,qap_init,,,0.582669,5704.0,3204.0
multimanga,20,1,qap_init,,,0.547809,5980.0,3288.0
multimanga,20,2,qap_init,,,0.571713,5182.0,3358.0
multimanga,5,0,qap_init,,,0.826693,850.0,842.0
multimanga,5,1,qap_init,,,0.828685,810.0,782.0
multimanga,5,2,qap_init,,,0.806773,926.0,890.0
netscience,10,0,qap_init,,,0.69657,212.0,188.0
netscience,10,1,qap_init,,,0.656992,198.0,174.0
netscience,10,2,qap_init,,,0.654354,194.0,186.0
netscience,15,0,qap_init,,,0.577836,408.0,276.0
netscience,15,1,qap_init,,,0.688654,280.0,268.0
netscience,15,2,qap_init,,,0.659631,298.0,278.0
netscience,20,0,qap_init,,,0.525066,592.0,352.0
netscience,20,1,qap_init,,,0.575198,538.0,354.0
netscience,20,2,qap_init,,,0.543536,420.0,360.0
netscience,5,0,qap_init,,,0.686016,90.0,82.0
netscience,5,1,qap_init,,,0.659631,98.0,94.0
netscience,5,2,qap_init,,,0.728232,88.0,84.0
voles,10,0,fugal_init,0.3,0.6,0.948107,448.0,440.0
voles,10,0,qap_init,,,0.943899,440.0,440.0
voles,10,1,fugal_init,0.3,0.6,0.928471,460.0,460.0
voles,10,1,qap_init,,,0.941094,460.0,460.0
voles,10,2,fugal_init,0.3,0.6,0.938289,376.0,364.0
voles,10,2,qap_init,,,0.941094,364.0,364.0
voles,15,0,fugal_init,0.5,0.2,0.928471,694.0,678.0
voles,15,0,qap_init,,,0.938289,686.0,678.0
voles,15,1,fugal_init,0.5,0.2,0.936886,702.0,698.0
voles,15,1,qap_init,,,0.941094,698.0,698.0
voles,15,2,fugal_init,0.5,0.2,0.908836,660.0,632.0
voles,15,2,qap_init,,,0.927069,632.0,632.0
voles,20,0,fugal_init,0.3,0.6,0.908836,902.0,874.0
voles,20,0,qap_init,,,0.915849,894.0,874.0
voles,20,1,fugal_init,0.3,0.6,0.903226,962.0,934.0
voles,20,1,qap_init,,,0.907433,934.0,934.0
voles,20,2,fugal_init,0.3,0.6,0.896213,886.0,854.0
voles,20,2,qap_init,,,0.901823,866.0,854.0
voles,5,0,qap_init,,,0.949509,222.0,222.0
voles,5,1,qap_init,,,0.943899,252.0,252.0
voles,5,2,qap_init,,,0.943899,168.0,168.0
